universitas;peringkat;noSK;tahunSK;wilayah;tanggalKadaluarsa;statusKadaluarsa
Akademi Akuntansi Lampung;B;0042/SK/BAN-PT/Akred/PT/I/2016;2016;2;2021-01-29;Masih berlaku
Akademi Akuntansi Nasional;C;206/SK/BAN-PT/Akred/PT/IV/2015;2015;3;2020-04-10;Masih berlaku
Akademi Akupunktur Surabaya;C;891/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-21;Masih berlaku
Akademi Analis Farmasi dan Makanan Sunan Giri;C;301/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-18;Masih berlaku
Akademi Analis Kesehatan An-Nasher;C;392/SK/BAN-PT/Akred/PT/V/2015;2015;4;2020-05-09;Masih berlaku
Akademi Analis Kesehatan Borneo Lestari Banjarbaru;C;215/SK/BAN-PT/Akred/PT/IV/2015;2015;11;2020-04-10;Masih berlaku
Akademi Analis Kesehatan Harapan Bangsa;C;1145/SK/BAN-PT/Akred/PT/VII/2016;2016;2;2021-08-14;Masih berlaku
Akademi Analis Kesehatan Kendari;C;438/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-15;Masih berlaku
Akademi Analis Kesehatan Malang;C;816/SK/BAN-PT/Akred/PT/VIII/2015;2015;7;2020-08-07;Masih berlaku
Akademi Analis Kesehatan Muhammadiyah Makassar;C;167/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-10;Masih berlaku
Akademi Bahasa Asing Balikpapan;C;159/SK/BAN-PT/Akred/PT/IV/2015;2015;11;2020-04-10;Masih berlaku
Akademi Bahasa Asing Nasional Jakarta;C;0051/SK/BAN-PT/Akred/PT/I/2016;2016;3;2021-01-29;Masih berlaku
Akademi Bahasa Asing Persada Bunda;C;922/SK/BAN-PT/Akred/PT/VIII/2015;2015;10;2020-08-29;Masih berlaku
Akademi Farmasi Al-Fatah Bengkulu;C;754/SK/BAN-PT/Akred/PT/VII/2015;2015;2;2020-07-10;Masih berlaku
Akademi Farmasi Bina Husada Kendari;C;428/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-15;Masih berlaku
Akademi Farmasi Indonesia Yogyakarta;C;983/SK/BAN-PT/Akred/PT/IX/2015;2015;5;2020-09-03;Masih berlaku
Akademi Farmasi Kebangsaan Makassar;C;1420/SK/BAN-PT/Akred/PT/VIII/2016;2016;9;2021-08-04;Masih berlaku
Akademi Farmasi Muhammadiyah Kabupaten Kuningan;C;643/SK/BAN-PT/Akred/PT/VI/2015;2015;4;2020-06-27;Masih berlaku
Akademi Informatika dan Komputer Medicom;C;303/SK/BAN-PT/Akred/PT/IV/2015;2015;1;2020-04-18;Masih berlaku
Akademi Kebidanan Abdi Persada Banjarmasin;B;3120/SK/BAN-PT/Akred/PT/XII/2016;2016;11;2021-12-27;Masih berlaku
Akademi Kebidanan Abdurahman;B;2656/SK/BAN-PT/Akred/PT/XI/2016;2016;2;2021-11-24;Masih berlaku
Akademi Kebidanan Aisyiyah Pontianak;C;2653/SK/BAN-PT/Akred/PT/XI/2016;2016;11;2021-11-24;Masih berlaku
Akademi Kebidanan Al-Su'aibah Palembang;C;1217/SK/BAN-PT/Akred/PT/XI/2015;2015;2;2020-12-19;Masih berlaku
Akademi Kebidanan Anugerah Bintan;B;3168/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Akademi Kebidanan Bali Wisnu Dharma Denpasar;C;202/SK/BAN-PT/Akred/PT/IV/2015;2015;8;2020-04-10;Masih berlaku
Akademi Kebidanan Baruna Husada;C;1143/SK/BAN-PT/Akred/PT/VII/2016;2016;1;2021-07-14;Masih berlaku
Akademi Kebidanan Batari Toja;C;362/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-09;Masih berlaku
Akademi Kebidanan Bhakti Asih Ciledug;C;205/SK/BAN-PT/Akred/PT/IV/2015;2015;4;2020-04-10;Masih berlaku
Akademi Kebidanan Bhakti Bangsa Bekasi;C;609/SK/BAN-PT/Akred/PT/VI/2015;2015;4;2020-06-27;Masih berlaku
Akademi Kebidanan Bhakti Purna Husada Serang;C;712/SK/BAN-PT/Akred/PT/VII/2015;2015;4;2020-07-04;Masih berlaku
Akademi Kebidanan Bina Husada;C;720/SK/BAN-PT/Akred/PT/VII/2015;2015;4;2020-07-10;Masih berlaku
Akademi Kebidanan Bina Sehat Nusantara, Bone;C;1136/SK/BAN-PT/Akred/PT/XI/2015;2015;9;2020-11-07;Masih berlaku
Akademi Kebidanan Bina Sejahtera Rantepao;C;3101/SK/BAN-PT/Akred/PT/XII/2016;2016;9;2021-12-27;Masih berlaku
Akademi Kebidanan Budi Mulia Kotabaru;C;636/SK/BAN-PT/Akred/PT/VI/2015;2015;10;2020-06-27;Masih berlaku
Akademi Kebidanan Budi Mulia Palembang;C;621/SK/BAN-PT/Akred/PT/VI/2015;2015;2;2020-06-27;Masih berlaku
Akademi Kebidanan Budi Mulia Prabumulih;C;533/SK/BAN-PT/Akred/PT/VI/2015;2015;2;2020-06-22;Masih berlaku
Akademi Kebidanan Bunga Bangsaku Bangka;C;709/SK/BAN-PT/Akred/PT/VII/2015;2015;2;2020-07-04;Masih berlaku
Akademi Kebidanan Bunga Kalimantan;C;826/BAN-PT/Akred/PT/VIII/2015;2015;11;2020-08-07;Masih berlaku
Akademi Kebidanan Buton Raya;C;489/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-23;Masih berlaku
Akademi Kebidanan Dehasen Bengkulu;B;985/SK/BAN-PT/Akred/PT/IX/2015;2015;2;2020-09-03;Masih berlaku
Akademi Kebidanan Dharma Praja Bondowoso;C;516/SK/BAN-PT/Akred/PT/VI/2015;2015;7;2020-06-12;Masih berlaku
Akademi Kebidanan Dian Harapan Mamasa;C;1293/SK/BAN-PT/Akred/PT/XII/2015;2015;9;2020-12-29;Masih berlaku
Akademi Kebidanan Gatra Buana Gurabati Tidore;C;804/SK/BAN-PT/Akred/PT/VIII/2015;2015;12;2020-08-07;Masih berlaku
Akademi Kebidanan Graha Husada Sampang;C;0048/SK/BAN-PT/Akred/PT/I/2016;2016;7;2021-01-29;Masih berlaku
Akademi Kebidanan Gunung Sari Makassar;C;3095/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Akademi Kebidanan Hafshawty Zainul Hasan Genggong;C;536/SK/BAN-PT/Akred/PT/VI/2015;2015;7;2020-06-22;Masih berlaku
Akademi Kebidanan Haji Amirullah;C;862/SK/BAN-PT/Akred/PT/VIII/2015;2015;9;2020-08-21;Masih berlaku
Akademi Kebidanan Harapan Mulya Ponorogo;C;535/SK/BAN-PT/Akred/PT/VI/2015;2015;7;2020-06-22;Masih berlaku
Akademi Kebidanan Ibrahimy Situbondo;C;244/SK/BAN-PT/Akred/PT/IV/2015;2015;7;2020-04-10;Masih berlaku
Akademi Kebidanan Indragiri;C;284/SK/BAN-PT/Akred/PT/IV/2015;2015;10;2020-04-18;Masih berlaku
Akademi Kebidanan Kutai Husada;C;618/SK/BAN-PT/Akred/PT/VI/2015;2015;11;2020-06-27;Masih berlaku
Akademi Kebidanan Madani Sinjai;C;367/SK/BAN-PT/Akred/PT/V/2015;2015;9;2020-05-09;Masih berlaku
Akademi Kebidanan Menara Primadani Soppeng;C;898/SK/BAN-PT/Akred/PT/VIII/2015;2015;9;2020-08-21;Masih berlaku
Akademi Kebidanan Mitra Persahabatan;C;0035/SK/BAN-PT/Akred/PT/I/2016;2016;3;2021-01-29;Masih berlaku
Akademi Kebidanan Muhammadiyah Makassar;C;680/SK/BAN-PT/Akred/PT/VII/2015;2015;9;2020-07-04;Masih berlaku
Akademi Kebidanan Muhammadiyah Palopo;C;269/SK/BAN-PT/Akred/PT/IV/2015;2015;9;2020-04-18;Masih berlaku
Akademi Kebidanan Nusantara 2000 Medan;C;3160/SK/BAN-PT/Akred/PT/XII/2016;2016;1;2021-12-27;Masih berlaku
Akademi Kebidanan Panca Bhakti Pontianak;B;1038/SK/BAN-PT/Akred/PT/X/2015;2015;11;2020-10-03;Masih berlaku
