,wilayah,strata,perguruanTinggi,kotaKab,prodi,noSK,tahunSK,peringkat,tanggalKadaluarsa,status
0,06 ,D4,Akademi Militer Magelang,Magelang,Teknik Mesin Pertahanan ,216/SK/BAN-PT/Ak-X/Dpl-IV/X/2013 ,2013 ,B ,26-10-2018 ,masih berlaku 
1,13 ,S1 ,Institut Agama Islam Negeri Ar-Raniry,Banda,Tafsir Hadist ,053 ,2010 ,B ,16-04-2015 ,Kadaluarsa 
2,01 ,S1 ,Sekolah Tinggi Agama Islam PERTINU Padang Sidempuan,Padang,Pendidikan Agama Islam ,029 ,2010 ,C ,03-12-2015 ,Kadaluarsa 
3,01 ,S1 ,Universitas Negeri Medan,Medan,"Pendidikan Seni Drama, Tari dan Musik ",008 ,2011 ,C ,23-06-2016 ,Kadaluarsa 
4,01 ,S1 ,Universitas Sumatera Utara,Medan,Matematika ,036/BAN-PT/Ak-XIII/S1/I/2011 ,2011 ,B ,07-01-2016 ,Kadaluarsa 
5,01 ,S1 ,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Tapanuli Selatan,Padang,Administrasi Pendidikan ,043 ,2011 ,C ,28-01-2016 ,Kadaluarsa 
6,14 ,S1 ,Sekolah Tinggi Ilmu Ekonomi Ottow dan Geissler Jayapura,Jayapura,Ekonomi Pembangunan ,032 ,2008 ,C ,12-01-2013 ,Kadaluarsa 
7,14 ,S1 ,Sekolah Tinggi Ilmu Ekonomi Ottow dan Geissler Jayapura,Jayapura,Manajemen ,032 ,2008 ,B ,12-01-2013 ,Kadaluarsa 
8,04 ,S1 ,Sekolah Tinggi Manajemen Bisnis Telkom,Bandung,Manajemen ,034 ,2008 ,A ,26-01-2013 ,Kadaluarsa 
9,03 ,S2 ,Sekolah Tinggi Ilmu Ekonomi Supra,Jakarta,Manajemen ,026/BAN-PT/Ak-V/S2/I/2008 ,2008 ,C ,12-01-2013 ,Kadaluarsa 
10,03 ,S2 ,Sekolah Tinggi Filsafat Theologia,Jakarta,Teologi ,027/BAN-PT/Ak-V/S2/I/2008 ,2008 ,A ,18-01-2013 ,Kadaluarsa 
11,04 ,S1 ,Universitas Pendidikan Indonesia,Bandung,Pendidikan Tata Niaga ,037 ,2008 ,A ,22-02-2013 ,Kadaluarsa 
12,03 ,S1 ,Sekolah Tinggi Ilmu Ekonomi Tri Dharma Widya,Jakarta,Akuntansi ,001 ,1998 ,B ,11-08-2003 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 15-11-2016 
13,03 ,S1 ,Sekolah Tinggi Teknologi Indonesia Jakarta,Jakarta,Teknik Sipil ,002 ,1996 ,C ,21-12-2001 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 18-09-2013 
14,03 ,S1 ,Sekolah Tinggi Teknologi Indonesia Jakarta,Jakarta,Teknik Mesin ,002 ,1996 ,C ,21-12-2001 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 18-09-2013 
15,03 ,S1 ,Universitas Satyagama,Jakarta,Pendidikan Agama Islam ,044 ,2011 ,C ,04-02-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 03-02-2016 
16,06 ,S1 ,Universitas Muhammadiyah Purwokerto,Banyumas,Agribisnis / Sosial Ekonomi Pertanian ,023 ,2010 ,C ,29-10-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 21-09-2015 
17,08 ,S1 ,Universitas Mataram,Mataram,Penyuluhan dan Komunikasi Pertanian ,025 ,2010 ,B ,12-11-2015 ,Kadaluarsa 
18,08 ,S1 ,Universitas Mataram,Mataram,Hama dan Penyakit Tumbuhan ,032 ,2010 ,B ,23-12-2015 ,Kadaluarsa 
19,08 ,S1 ,Universitas Mataram,Mataram,Ilmu Tanah ,007 ,2010 ,C ,24-06-2015 ,Kadaluarsa 
20,08 ,S1 ,Universitas Mataram,Mataram,Teknologi Hasil Pertanian ,025 ,2010 ,B ,12-11-2015 ,Kadaluarsa 
21,08 ,S1 ,Universitas Mataram,Mataram,Pemuliaan Tanaman ,008 ,2010 ,B ,02-07-2015 ,Kadaluarsa 
22,08 ,S1 ,Universitas Ngurah Rai,Denpasar,Arsitektur ,025 ,2010 ,C ,12-11-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 11-05-2015 
23,09 ,S1 ,Sekolah Tinggi Agama Islam Negeri (STAIN) Sultan Qaimuddin,Kendari,Ahwal Al-Syakhshiyyah ,033 ,2010 ,B ,30-12-2015 ,Kadaluarsa 
24,09 ,S1 ,Sekolah Tinggi Agama Islam Negeri (STAIN) Sultan Qaimuddin,Kendari,Bimbingan dan Penyuluhan Agama Islam ,036/BAN-PT/Ak-XIII/S1/I/2011 ,2011 ,B ,07-01-2016 ,Kadaluarsa 
25,09 ,S1 ,Sekolah Tinggi Agama Islam Negeri (STAIN) Sultan Qaimuddin,Kendari,Komunikasi dan Penyiaran Agama Islam ,038 ,2011 ,B ,14-01-2016 ,Kadaluarsa 
26,09 ,S1 ,Sekolah Tinggi Agama Islam Negeri (STAIN) Sultan Qaimuddin,Kendari,Pendidikan Agama Islam ,031 ,2010 ,B ,17-12-2015 ,Kadaluarsa 
27,09 ,S1 ,Sekolah Tinggi Agama Islam Negeri (STAIN) Sultan Qaimuddin,Kendari,Pendidikan Bahasa Arab ,036/BAN-PT/Ak-XIII/S1/I/2011 ,2011 ,B ,07-01-2016 ,Kadaluarsa 
28,09 ,S1 ,Sekolah Tinggi Agama Islam Negeri (STAIN) Sultan Qaimuddin,Kendari,Muamalah ,033 ,2010 ,B ,30-12-2015 ,Kadaluarsa 
29,09 ,S1 ,Sekolah Tinggi Agama Islam Darud Da'wah wal-Irsyad (DDI) Pinrang,Pinrang,Pendidikan Agama Islam ,023 ,2010 ,C ,29-10-2015 ,Kadaluarsa 
30,09 ,S1 ,Sekolah Tinggi Agama Islam Darud Da'wah wal-Irsyad (DDI) Pare-pare,Pare-Pare,Pendidikan Agama Islam ,020 ,2010 ,C ,08-10-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 31-08-2015 
31,09 ,S1 ,Universitas Sam Ratulangi,Manado,Teknologi Hasil Perikanan ,046 ,2011 ,B ,11-02-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 16-11-2016 
32,10 ,S1 ,Institut Agama Islam Negeri Imam Bonjol,Sumatera,Muamalah ,033 ,2010 ,B ,30-12-2015 ,Kadaluarsa 
33,10 ,S1 ,Universitas Baiturahmah,Padang,Pendidikan Dokter Gigi ,018/BAN-PT/Ak-XIII/S1/IX/2010 ,2010 ,C ,17-09-2015 ,Kadaluarsa 
34,11 ,S1 ,Sekolah Tinggi Manajemen dan Ilmu Komputer Samarinda,Kalimantan,Sistem Informasi ,005/BAN-PT/Ak-XIV/S1/VI/2011 ,2011 ,C ,03-06-2016 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 06-06-2016 
35,10 ,S1 ,Universitas Riau,Pekanbaru,Ilmu Administrasi Negara ,046 ,2011 ,B ,11-02-2016 ,Kadaluarsa 
36,02 ,D3,Akademi Sekretari dan Manajemen Sriwijaya,Ilir,Sekretari ,001 ,2000 ,C ,08-03-2005 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 31-08-2013 
37,03 ,D3,Sekolah Tinggi Ilmu Ekonomi Swadaya,Jakarta,Keuangan dan Perbankan ,004 ,2010 ,B ,11-06-2015 ,Kadaluarsa 
38,03 ,D3,Akademi Akuntansi Borobudur,Jakarta,Akuntansi ,001 ,2010 ,C ,30-04-2015 ,Kadaluarsa 
39,10 ,D3,Akademi Sekretari dan Manajemen Indonesia Padang,Sumatera,Kesekretariatan ,002 ,2002 ,B ,04-04-2007 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 30-08-2013 
40,10 ,D3,Akademi Sekretari dan Manajemen Indonesia Padang,Sumatera,Manajemen ,002 ,2002 ,B ,04-04-2007 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 30-08-2013 
41,03 ,D3,Akademi Keuangan dan Perbankan Borobudur,Jakarta,Keuangan dan Perbankan ,001 ,2010 ,B ,30-04-2015 ,Kadaluarsa 
42,03 ,D3,Akademi Bahasa Asing Borobudur,Jakarta,Bahasa Inggris ,025 ,2010 ,B ,17-12-2015 ,Kadaluarsa 
43,03 ,D3,Akademi Bahasa Asing Borobudur,Jakarta,Bahasa Jepang ,029 ,2011 ,B ,14-01-2016 ,Kadaluarsa 
44,05 ,D3,Akademi Manajemen Administrasi (AMA) Yogyakarta,Yogyakarta,Manajemen Administrasi ,004 ,2010 ,C ,11-06-2015 ,Dalam proses re-akreditasi dan telah mengajukan re-akreditasi tgl 08-12-2014 
