,kode,prodi,status,jenjang,dosenTetap,mahasiswa,link
0,46001 ,Biologi ,Aktif ,S3 ,7 ,0 ,http://forlap.dikti.go.id/prodi/detail/REY2RTU3QkQtQjQ0Ni00NERGLUI2NkUtNjc3NzgxN0U4MTA4/0
1,61001 ,Ilmu Manajemen ,Aktif ,S3 ,5 ,10 ,http://forlap.dikti.go.id/prodi/detail/RUVFNjQyOTQtM0U1MS00MjU4LUIxOUMtRThDMjUwNUUwMEIy/0
2,54001 ,Ilmu Pertanian ,Aktif ,S3 ,6 ,3 ,http://forlap.dikti.go.id/prodi/detail/NzlCRkFDRDUtNzhDMS00OEEwLUI4MzYtNTg2MUM5REI3MEJB/0
3,54031 ,Ilmu Peternakan ,Aktif ,S3 ,10 ,0 ,http://forlap.dikti.go.id/prodi/detail/NzZFNzdEMzEtOUYyMy00MUI5LThCNDEtNTI3QzYxRDBBNjVD/0
4,54104 ,Agronomi ,Aktif ,S2 ,8 ,14 ,http://forlap.dikti.go.id/prodi/detail/RThFOUQ4RjgtQTMwQy00N0QzLUE5QTItNjRCQkRGRDdENjE5/0
5,62101 ,Akuntansi ,Aktif ,S2 ,9 ,13 ,http://forlap.dikti.go.id/prodi/detail/NTQ4NDhFRjYtNTUzQS00MjBCLTkwODAtNDFGMDE4MTRGNjdC/0
6,63101 ,Ilmu Administrasi ,Aktif ,S2 ,8 ,61 ,http://forlap.dikti.go.id/prodi/detail/RkUxMjA4QjctNUU4RS00RUI2LUJCQkEtMEM4MTM5QjVENDVE/0
7,46101 ,Ilmu Biologi ,Aktif ,S2 ,7 ,26 ,http://forlap.dikti.go.id/prodi/detail/RTA3NzYwM0YtODQxMC00RkFGLUE2REYtODY2QTdFM0Q5OTdC/0
8,60101 ,Ilmu Ekonomi ,Aktif ,S2 ,7 ,11 ,http://forlap.dikti.go.id/prodi/detail/MjM1ODRFNEUtMzlDMS00MjAwLTg2QzMtOTUyREFGRjgyRTE0/0
9,74101 ,Ilmu Hukum ,Aktif ,S2 ,10 ,20 ,http://forlap.dikti.go.id/prodi/detail/RTZCNEM5OTUtQUREQy00OUM4LUE4Q0EtMTk2MUY3MzVFNzEz/0
10,70101 ,Ilmu Komunikasi ,Aktif ,S2 ,5 ,0 ,http://forlap.dikti.go.id/prodi/detail/MEVDRTY3MTQtQ0E0Mi00NTA1LTkyMzctNjFFRkNFM0Y4MUM3/0
11,95129 ,Ilmu Lingkungan ,Aktif ,S2 ,3 ,3 ,http://forlap.dikti.go.id/prodi/detail/QTgwRkRCNUQtM0RDQi00RTVFLUE5ODMtQzI1QkQwRkM2NUE1/0
12,41121 ,Ilmu Pangan ,Aktif ,S2 ,0 ,0 ,http://forlap.dikti.go.id/prodi/detail/NUExRjkxMUUtOTAzRC00QzYwLTk5MUQtRTM3QTAxODAyNzYy/0
13,54141 ,Industri Sumberdaya Hayati Kelautan ,Aktif ,S2 ,6 ,0 ,http://forlap.dikti.go.id/prodi/detail/QjA1ODdEMEYtQjJDMC00Q0IwLTg0QUQtQTY0NzY4Qzg5Rjg5/0
14,74102 ,Kenotariatan ,Aktif ,S2 ,0 ,0 ,http://forlap.dikti.go.id/prodi/detail/QkUwODI3OTgtNURFMC00MTQ4LUI4NjAtOTgzNEI1NjYxRjRF/0
15,61101 ,Manajemen ,Aktif ,S2 ,7 ,5 ,http://forlap.dikti.go.id/prodi/detail/OEE1QjczM0UtNEQ5RS00OTI0LUFFRTMtRjg1QjM0M0ZCREIw/0
16,54103 ,Penyuluhan Pertanian ,Aktif ,S2 ,0 ,0 ,http://forlap.dikti.go.id/prodi/detail/MjlBQ0RBMEYtMkIwOC00MzUwLTk0OTItRjVBNzhCQ0E5MUYy/0
17,54131 ,Peternakan ,Aktif ,S2 ,3 ,13 ,http://forlap.dikti.go.id/prodi/detail/NjFEMDc2QkMtQkZFNi00RTQzLUI4MzEtNzE2QjkyRkQzMkMz/0
18,69101 ,Sosiologi ,Aktif ,S2 ,9 ,0 ,http://forlap.dikti.go.id/prodi/detail/ODY1NDNENkItQjdEOS00RTBBLTk1NEUtOUJGMzQ4RjRBOTU0/0
19,54201 ,Agribisnis ,Aktif ,S1 ,23 ,607 ,http://forlap.dikti.go.id/prodi/detail/NUJDM0EyNzctMEIyQy00RjRFLUJFMDEtM0VFOTA1QjE5RjdD/0
