,,,Universitas,,,,Alamat,Kota,Kode Pos,Full Address,Latitude,Longitude,,,,,Address,Lat,Long
1,50,Aktif,Universitas Gadjah Mada,19 Desember 1949 ,PP 1532000,26 Desember 2000 ,Bulaksumur ,Kec. Depok - Kab. Sleman - Prop. D.I. Yogyakarta,55281,Bulaksumur  Kec. Depok - Kab. Sleman - Prop. D.I. Yogyakarta 55281 ,-7.7713847,110.3774998,0274-588688,0274-565223,setr@ugm.ac.id,www.ugm.ac.id,Universitas Gadjah Mada Bulaksumur  Kec. Depok - Kab. Sleman - Prop. D.I. Yogyakarta 55281,-7.7713847,110.3774998
2,51,Aktif,Universitas Indonesia,2 Februari 1950 ,152,26 Desember 2000 ,Jalan Salemba Raya 4 ,Kota Jakarta Pusat - Prop. D.K.I. Jakarta - Indonesia,10430,Jalan Salemba Raya 4  Kota Jakarta Pusat - Prop. D.K.I. Jakarta - Indonesia 10430 ,-6.1984015,106.8508456,021-7270020,021-7270017,humas-ui@ui.ac.id,www.ui.ac.id,Universitas Indonesia Jalan Salemba Raya 4  Kota Jakarta Pusat - Prop. D.K.I. Jakarta - Indonesia 10430,-6.1949311,106.848885
3,52,Aktif,Universitas Sumatera Utara,4 Juli 1952 ,PP 481957,9/1/1957,Jalan Dr T Mansur No 9 Padang Bulan,Kota Medan - Prop. Sumatera Utara - Indonesia,20155,Jalan Dr T Mansur No 9 Padang Bulan Kota Medan - Prop. Sumatera Utara - Indonesia 20155 ,3.5674183,98.6478846,"061-8214033, 8214210","061-8211822, 8211633", ,www.usu.ac.id,Universitas Sumatera Utara Jalan Dr T Mansur No 9 Padang Bulan Kota Medan - Prop. Sumatera Utara - Indonesia 20155,3.5670488,98.6556239
4,53,Aktif,Universitas Airlangga,11/10/1954,1571954,11 Oktober 1954 ,Kampus C Mulyorejo ,Kec. Mulyorejo - Kota Surabaya - Prop. Jawa Timur,60115,Kampus C Mulyorejo  Kec. Mulyorejo - Kota Surabaya - Prop. Jawa Timur 60115 ,-7.2722831,112.758034,"031-5914042,5914043",031-5981941,rektor@unair.ac.id,www.unair.ac.id,Universitas Airlangga Kampus C Mulyorejo  Kec. Mulyorejo - Kota Surabaya - Prop. Jawa Timur 60115,-7.2700792,112.7886711
5,54,Aktif,Universitas Hasanuddin,11 Juni 1956 ,3369,11 Juni 1956 ,Jl Perintis Kemerdekaan Km 10 Tamalanrea,Kota Makassar - Prop. Sulawesi Selatan - Indonesia,90245,Jl Perintis Kemerdekaan Km 10 Tamalanrea Kota Makassar - Prop. Sulawesi Selatan - Indonesia 90245 ,-5.1377033,119.4939454,0411-586200,0411-585188,vicerector1@unhas.ac.id,www.unhas.ac.id,Universitas Hasanuddin Jl Perintis Kemerdekaan Km 10 Tamalanrea Kota Makassar - Prop. Sulawesi Selatan - Indonesia 90245,-5.13241,119.488
6,55,Aktif,Universitas Andalas,9/13/1956,211956,9/13/1956,Kampus Universitas Andalas Limau Manis,Kota Padang - Prop. Sumatera Barat - Indonesia,25163,Kampus Universitas Andalas Limau Manis Kota Padang - Prop. Sumatera Barat - Indonesia 25163 ,-0.914559,100.4595468,0751-71181,0751-71085,rektor@unand.ac.id,www.unand.ac.id,Universitas Andalas Kampus Universitas Andalas Limau Manis Kota Padang - Prop. Sumatera Barat - Indonesia 25163,-0.914559,100.4595468
7,56,Aktif,Universitas Padjadjaran,9/11/1957,PP NO 37 TAHUN 1957,9/18/1957,Jalan Dipati Ukur No 35 ,Kota Bandung - Prop. Jawa Barat - Indonesia,40132,Jalan Dipati Ukur No 35  Kota Bandung - Prop. Jawa Barat - Indonesia 40132 ,-6.8933529,107.617345,022-2501976,022-2501976,unpad@unpad.ac.id,www.unpad.ac.id,Universitas Padjadjaran Jalan Dipati Ukur No 35  Kota Bandung - Prop. Jawa Barat - Indonesia 40132,-6.9261321,107.7746881
8,57,Aktif,Universitas Diponegoro,15 Oktober 1957 ,10124UU,3 Desember 1960 ,"Jl Prof H Soedarto, SH Kampus Tembalang",Kec. Tembalang - Kota Semarang - Prop. Jawa Tengah,50275,"Jl Prof H Soedarto, SH Kampus Tembalang Kec. Tembalang - Kota Semarang - Prop. Jawa Tengah 50275 ",-7.0520829,110.4399777,(024) 7460012,(024) 7460013,rektor@undip.ac.id,www.undip.ac.id,"Universitas Diponegoro Jl Prof H Soedarto, SH Kampus Tembalang Kec. Tembalang - Kota Semarang - Prop. Jawa Tengah 50275",-7.0520829,110.4399777
9,58,Aktif,Universitas Sriwijaya,29 Oktober 1960 ,NO.135 TAHUN 1960,29 Oktober 1960 ,Jl Raya Palembang Prabumulih Km. 32  Inderalaya Ogan Komering Ilir,Kota Palembang - Prop. Sumatera Selatan - Indonesia,30662,Jl Raya Palembang Prabumulih Km. 32  Inderalaya Ogan Komering Ilir Kota Palembang - Prop. Sumatera Selatan - Indonesia 30662 ,,,0711-580169,0711-580664,bapsi@unsri.ac.id,www.unsri.ac.id,Universitas Sriwijaya Jl Raya Palembang Prabumulih Km. 32  Inderalaya Ogan Komering Ilir Kota Palembang - Prop. Sumatera Selatan - Indonesia 30662,,
10,59,Aktif,Universitas Lambung Mangkurat,1 Januari 1960 ,PP.NO.41 TAHUN 1960,9/1/1960,Jalan Brigjen H Hasan Basri ,Kota Banjarmasin - Prop. Kalimantan Selatan - Indonesia,70123,Jalan Brigjen H Hasan Basri  Kota Banjarmasin - Prop. Kalimantan Selatan - Indonesia 70123 ,-3.2928181,114.5899348,511306694,511306694,info@unlam.ac.id,unlam.ac.id,Universitas Lambung Mangkurat Jalan Brigjen H Hasan Basri  Kota Banjarmasin - Prop. Kalimantan Selatan - Indonesia 70123,-3.2971251,114.5834406
11,60,Aktif,Universitas Syiah Kuala,2 Juni 1961 ,111961,12 Juni 1961 ,"Universitas Syiah Kuala 
Jln. Teuku Nyak Arief
Darussalam, Banda Aceh, Aceh, 2",Kec. Syiah Kuala - Kota Banda Aceh - Prop. Aceh,23111,"Universitas Syiah Kuala 
Jln. Teuku Nyak Arief
Darussalam, Banda Aceh, Aceh, 2 Kec. Syiah Kuala - Kota Banda Aceh - Prop. Aceh 23111 ",5.5709872,95.3698263,(0651) 755-3205,(0651) 755-4229,rektor@unsyiah.ac.id,www.unsyiah.ac.id,"Universitas Syiah Kuala Universitas Syiah Kuala 
Jln. Teuku Nyak Arief
Darussalam, Banda Aceh, Aceh, 2 Kec. Syiah Kuala - Kota Banda Aceh - Prop. Aceh 23111",5.5709872,95.3698263
12,61,Aktif,Universitas Sam Ratulangi,9/14/1965,277 TAHUN 1965,9/14/1965,Kampus Unsrat Bahu ,Kec. Malalayang - Kota Manado - Prop. Sulawesi Utara,95115,Kampus Unsrat Bahu  Kec. Malalayang - Kota Manado - Prop. Sulawesi Utara 95115 ,,,0431-863886,0431-822568,rektorat@unsrat.ac.id,www.unsrat.ac.id,Universitas Sam Ratulangi Kampus Unsrat Bahu  Kec. Malalayang - Kota Manado - Prop. Sulawesi Utara 95115,1.4592105,124.8292757
13,62,Aktif,Universitas Udayana,17 Agustus 1962 ,10462,9 Agustus 1962 ,"Jl.Kampus Bukit UNUD Jimbaran ,Badung-Bali",Kab. Badung - Prop. Bali - Indonesia,80361,"Jl.Kampus Bukit UNUD Jimbaran ,Badung-Bali Kab. Badung - Prop. Bali - Indonesia 80361 ",-8.7982727,115.1723921,0361-701954,0361-701907,info@unud.ac.id,www.unud.ac.id,"Universitas Udayana Jl.Kampus Bukit UNUD Jimbaran ,Badung-Bali Kab. Badung - Prop. Bali - Indonesia 80361",-8.7982727,115.1723921
14,63,Aktif,Universitas Nusa Cendana,9/1/1962,III TAHUN 1962,28 Agustus 1962 ,Jalan Adisucipto Penfui ,Kota Kupang - Prop. Nusa Tenggara Timur - Indonesia,85001,Jalan Adisucipto Penfui  Kota Kupang - Prop. Nusa Tenggara Timur - Indonesia 85001 ,-10.1544464,123.6589219,(0380)881580,881674,puskomundana@yahoo.com, http:www.undana.ac.id,Universitas Nusa Cendana Jalan Adisucipto Penfui  Kota Kupang - Prop. Nusa Tenggara Timur - Indonesia 85001,-10.1544464,123.6589219
15,64,Aktif,Universitas Mulawarman,9/27/1962,KEPRES NO 65,9/28/1962,Jalan Kuaro Gunung Kelua ,Kota Samarinda - Prop. Kalimantan Timur - Indonesia,75119,Jalan Kuaro Gunung Kelua  Kota Samarinda - Prop. Kalimantan Timur - Indonesia 75119 ,,,541741118,541732870,rektorat-unmul@smd.mega.net,www.unmul.ac.id,Universitas Mulawarman Jalan Kuaro Gunung Kelua  Kota Samarinda - Prop. Kalimantan Timur - Indonesia 75119,-0.4697647,117.1541237
16,65,Aktif,Universitas Mataram,1 Oktober 1962 ,139,11/3/1962,Jalan Majapahit No 62 ,Kec. Selaperang - Kota Mataram - Prop. Nusa Tenggara Barat,83125,Jalan Majapahit No 62  Kec. Selaperang - Kota Mataram - Prop. Nusa Tenggara Barat 83125 ,-8.5877157,116.0955967,0370-633007,0370-636041,rektor@unram.ac.id,www.unram.ac.id,Universitas Mataram Jalan Majapahit No 62  Kec. Selaperang - Kota Mataram - Prop. Nusa Tenggara Barat 83125,-8.587349,116.093886
17,66,Aktif,Universitas Riau,9/1/1962,02KPTSJUR62,9/25/1962,Kampus Bina Widya Simpang Baru,Kota Pekanbaru - Prop. Riau - Indonesia,28293,Kampus Bina Widya Simpang Baru Kota Pekanbaru - Prop. Riau - Indonesia 28293 ,0.468201,101.367152,0761-63266,0761-63279,unri@ac.id,www.unri.ac.id,Universitas Riau Kampus Bina Widya Simpang Baru Kota Pekanbaru - Prop. Riau - Indonesia 28293,0.476395,101.380647
18,67,Aktif,Universitas Cenderawasih,11/10/1962,3891962,11/10/1962,Kampus Uncen Waena Jl Camp Wolker,Kota Jayapura - Prop. Papua - Indonesia,99358,Kampus Uncen Waena Jl Camp Wolker Kota Jayapura - Prop. Papua - Indonesia 99358 ,,,0967-572108,0967-572102,humas@unicen.ac.id,www.unicen.ac.id,Universitas Cenderawasih Kampus Uncen Waena Jl Camp Wolker Kota Jayapura - Prop. Papua - Indonesia 99358,,
19,68,Aktif,Universitas Brawijaya,9/23/1963,196,5 Januari 1963 ,Jalan Veteran ,Kec. Lowokwaru - Kota Malang - Prop. Jawa Timur,65145,Jalan Veteran  Kec. Lowokwaru - Kota Malang - Prop. Jawa Timur 65145 ,-7.9572786,112.6176294,0341-551611,0341-565420,rektorat@ub.ac.id,www.ub.ac.id,Universitas Brawijaya Jalan Veteran  Kec. Lowokwaru - Kota Malang - Prop. Jawa Timur 65145,-7.9555659,112.615641
20,69,Aktif,Universitas Jambi,1 Januari 1963 ,O1KP1963,1 Januari 1963 ,Jl. Raya Jambi Muara Bulian Km 15,Kab. Muaro Jambi - Prop. Jambi - Indonesia,36361,Jl. Raya Jambi Muara Bulian Km 15 Kab. Muaro Jambi - Prop. Jambi - Indonesia 36361 ,,,741583377,741583111,unja@unja.ac.id,www.unja.ac.id,Universitas Jambi Jl. Raya Jambi Muara Bulian Km 15 Kab. Muaro Jambi - Prop. Jambi - Indonesia 36361,-1.6115412,103.5200459
21,70,Aktif,Universitas Pattimura,8 Agustus 1962 ,66,4/23/1963,"Jalan Ir M Putuhena, Kampus Poka, AMBON ",Kota Ambon - Prop. Maluku - Indonesia,97233,"Jalan Ir M Putuhena, Kampus Poka, AMBON  Kota Ambon - Prop. Maluku - Indonesia 97233 ",-3.6521671,128.1915828,(0911)322626,(0911)322626,rektor@unpatti.ac.id,www.unpatti.ac.id,"Universitas Pattimura Jalan Ir M Putuhena, Kampus Poka, AMBON  Kota Ambon - Prop. Maluku - Indonesia 97233",-3.6521671,128.1915828
22,71,Aktif,Universitas Tanjungpura,6 Mei 1963 ,53 THN.1963,16 Mei 1963 ,Jalan Jenderal Ahmad Yani ,Kota Pontianak - Prop. Kalimantan Barat - Indonesia,78124,Jalan Jenderal Ahmad Yani  Kota Pontianak - Prop. Kalimantan Barat - Indonesia 78124 ,-0.0620984,109.3550979,"0561-736033,739630","0561-739630,739636",1) untan_59@untan.ac.id; 2) untan_59@untan.ac.id,www.untan.ac.id,Universitas Tanjungpura Jalan Jenderal Ahmad Yani  Kota Pontianak - Prop. Kalimantan Barat - Indonesia 78124,-0.039032,109.336191
23,72,Aktif,Universitas Jenderal Soedirman,9/23/1963,195,9/23/1963,Jl Prof Dr HR Boenyamin 708 ,Kec. Purwokerto Utara - Kab. Banyumas - Prop. Jawa Tengah,53122,Jl Prof Dr HR Boenyamin 708  Kec. Purwokerto Utara - Kab. Banyumas - Prop. Jawa Tengah 53122 ,-7.4050847,109.2473603,0281-635292,0281-631802,kusja@unsoed.ac.id,www.unsoed.ac.id,Universitas Jenderal Soedirman Jl Prof Dr HR Boenyamin 708  Kec. Purwokerto Utara - Kab. Banyumas - Prop. Jawa Tengah 53122,-7.4050847,109.2473603
24,73,Aktif,Universitas Palangka Raya,1 Januari 1963 ,SK MENTERI PTIP NO : 141,11/10/1963,Kampus Unpar Tunjung Nyaho Jl. Yos Sudarso,Kota Palangka Raya - Prop. Kalimantan Tengah - Indonesia,27111,Kampus Unpar Tunjung Nyaho Jl. Yos Sudarso Kota Palangka Raya - Prop. Kalimantan Tengah - Indonesia 27111 ,,,0536-3227111,0536-3227111,info@upr.ac.id,upr.ac.id,Universitas Palangka Raya Kampus Unpar Tunjung Nyaho Jl. Yos Sudarso Kota Palangka Raya - Prop. Kalimantan Tengah - Indonesia 27111,-2.2126852,113.9038657
25,74,Aktif,Universitas Jember,11/10/1964,No.1511964,11/10/1964,Jalan Kalimantan No 37 Kampus Tegalboto,Kec. Sumbersari - Kab. Jember - Prop. Jawa Timur,68121,Jalan Kalimantan No 37 Kampus Tegalboto Kec. Sumbersari - Kab. Jember - Prop. Jawa Timur 68121 ,-8.1635716,113.7142301,331330224,331337422,humas@unej.ac.id,www.unej.ac.id,Universitas Jember Jalan Kalimantan No 37 Kampus Tegalboto Kec. Sumbersari - Kab. Jember - Prop. Jawa Timur 68121,-8.1635716,113.7142301
26,75,Aktif,Universitas Lampung,9/22/1965,894124121967,9/21/1967,Jl Sumantri Brojonegoro No 1 Gedong Meneng,Kec. Rajabasa - Kota Bandar Lampung - Prop. Lampung,35145,Jl Sumantri Brojonegoro No 1 Gedong Meneng Kec. Rajabasa - Kota Bandar Lampung - Prop. Lampung 35145 ,-5.3643138,105.2430595,721701609,721701609,humas@kpa.unila.ac.id,www.unila.ac.id,Universitas Lampung Jl Sumantri Brojonegoro No 1 Gedong Meneng Kec. Rajabasa - Kota Bandar Lampung - Prop. Lampung 35145,-5.3643138,105.2430595
27,76,Aktif,Universitas Sebelas Maret,8 Maret 1976 ,KEPPRES RI NOMOR 10 TAHUN 1976,8 Maret 1976 ,Jalan Ir Sutami 36-A Kentingan,Kota Surakarta - Prop. Jawa Tengah - Indonesia,57126,Jalan Ir Sutami 36-A Kentingan Kota Surakarta - Prop. Jawa Tengah - Indonesia 57126 ,-7.5607481,110.8566134,0271 646994, 0271 642283, admin-uns@uns.ac.id,uns.ac.id,Universitas Sebelas Maret Jalan Ir Sutami 36-A Kentingan Kota Surakarta - Prop. Jawa Tengah - Indonesia 57126,-7.5607481,110.8566134
28,77,Aktif,Universitas Tadulako,1 Mei 1981 ,170B-SWTP1997,4/1/1997,Kampus Bumi Tadulako Tondo ,Kota Palu - Prop. Sulawesi Tengah - Indonesia,94118,Kampus Bumi Tadulako Tondo  Kota Palu - Prop. Sulawesi Tengah - Indonesia 94118 ,-0.8364322,119.8936937,0451-422611,0541-422355,untad@untad.ac.id,www.untad.ac.id,Universitas Tadulako Kampus Bumi Tadulako Tondo  Kota Palu - Prop. Sulawesi Tengah - Indonesia 94118,-0.8364322,119.8936937
29,78,Aktif,Universitas Halu Oleo,19 Agustus 1981 ,37 TAHUN 1981,11 Agustus 1981 ,"Kampus Bumi Tridharma Anduonohu, Jalan H.E.A. Mokodompit, Kodya Kendari, Sulawes",Kota Kendari - Prop. Sulawesi Tenggara - Indonesia,93232,"Kampus Bumi Tridharma Anduonohu, Jalan H.E.A. Mokodompit, Kodya Kendari, Sulawes Kota Kendari - Prop. Sulawesi Tenggara - Indonesia 93232 ",-4.0086915,122.5227249,0401-3194163,0401-3190006,info@uho.ac.id,www.uho.ac.id,"Universitas Halu Oleo Kampus Bumi Tridharma Anduonohu, Jalan H.E.A. Mokodompit, Kodya Kendari, Sulawes Kota Kendari - Prop. Sulawesi Tenggara - Indonesia 93232",-4.0086915,122.5227249
30,79,Aktif,Universitas Bengkulu,4/24/1982,KEPPRES NO 17 TAHUN 1982,31 Maret 1982 ,Jalan WR Supratman Kandang Limun ,Kec. Muara Bangkahulu - Kota Bengkulu - Prop. Bengkulu,38371,Jalan WR Supratman Kandang Limun  Kec. Muara Bangkahulu - Kota Bengkulu - Prop. Bengkulu 38371 ,-3.7601144,102.2745325,0736-21170,0736-22105,rektorat@unib.ac.id,www.unib.ac.id,Universitas Bengkulu Jalan WR Supratman Kandang Limun  Kec. Muara Bangkahulu - Kota Bengkulu - Prop. Bengkulu 38371,-3.760114,102.274533
31,80,Aktif,Universitas Terbuka,9/4/1984,41TAHUN 1984,11 Juni 1984 ,"Jalan Cabe Raya, Pondok Cabe, Pamulang, Tangerang Selatan",Prop. D.K.I. Jakarta - Indonesia,15418,"Jalan Cabe Raya, Pondok Cabe, Pamulang, Tangerang Selatan Prop. D.K.I. Jakarta - Indonesia 15418 ",-6.3289397,106.7673059,021-7490941,021-7490147,hallo-ut@ut.ac.id,www.ut.ac.id,"Universitas Terbuka Jalan Cabe Raya, Pondok Cabe, Pamulang, Tangerang Selatan Prop. D.K.I. Jakarta - Indonesia 15418",-6.344857,106.758034
32,81,Aktif,Universitas Negeri Padang,8 Januari 1997 ,1884D11997,8 Januari 1997 ,"Jalan Prof Dr Hamka Kampus Air Tawar
Padang
Sumatera Barat",Kota Padang - Prop. Sumatera Barat - Indonesia,25131,"Jalan Prof Dr Hamka Kampus Air Tawar
Padang
Sumatera Barat Kota Padang - Prop. Sumatera Barat - Indonesia 25131 ",,,7517051260,7517055628,info@unp.ac.id,www.unp.ac.id,"Universitas Negeri Padang Jalan Prof Dr Hamka Kampus Air Tawar
Padang
Sumatera Barat Kota Padang - Prop. Sumatera Barat - Indonesia 25131",,
