id;idUniv;status;universitas;berdiri;noSK;tanggalSK;alamat;kotakab;kodePos;telepon;fax;email;website;oldAddr;oldLat;oldLong;Addr;Lat;Long
1;50;Aktif;Universitas Gadjah Mada;19 Desember 1949 ;PP 1532000;26 Desember 2000 ;Bulaksumur ;Kec. Depok - Kab. Sleman - Prop. D.I. Yogyakarta;55281;0274-588688;0274-565223;setr@ugm.ac.id;www.ugm.ac.id;Bulaksumur  Kec. Depok - Kab. Sleman - Prop. D.I. Yogyakarta 55281 ;-7.7713847;110.3774998;Universitas Gadjah Mada Kec. Depok - Kab. Sleman - Prop. D.I. Yogyakarta 55281;-7.7713847;110.3774998
2;51;Aktif;Universitas Indonesia;2 Februari 1950 ;152;26 Desember 2000 ;Jalan Salemba Raya 4 ;Kota Jakarta Pusat - Prop. D.K.I. Jakarta - Indonesia;10430;021-7270020;021-7270017;humas-ui@ui.ac.id;www.ui.ac.id;Jalan Salemba Raya 4  Kota Jakarta Pusat - Prop. D.K.I. Jakarta - Indonesia 10430 ;-6.1984015;106.8508456;Universitas Indonesia Kota Jakarta Pusat - Prop. D.K.I. Jakarta - Indonesia 10430;-6.1949311;106.848885
3;52;Aktif;Universitas Sumatera Utara;4 Juli 1952 ;PP 481957;9/1/1957;Jalan Dr T Mansur No 9 Padang Bulan;Kota Medan - Prop. Sumatera Utara - Indonesia;20155;061-8214033, 8214210;061-8211822, 8211633; ;www.usu.ac.id;Jalan Dr T Mansur No 9 Padang Bulan Kota Medan - Prop. Sumatera Utara - Indonesia 20155 ;3.5674183;98.6478846;Universitas Sumatera Utara Kota Medan - Prop. Sumatera Utara - Indonesia 20155;3.5653554;98.6567748
4;53;Aktif;Universitas Airlangga;11/10/1954;1571954;11 Oktober 1954 ;Kampus C Mulyorejo ;Kec. Mulyorejo - Kota Surabaya - Prop. Jawa Timur;60115;031-5914042,5914043;031-5981941;rektor@unair.ac.id;www.unair.ac.id;Kampus C Mulyorejo  Kec. Mulyorejo - Kota Surabaya - Prop. Jawa Timur 60115 ;-7.2722831;112.758034;Universitas Airlangga Kec. Mulyorejo - Kota Surabaya - Prop. Jawa Timur 60115;-7.2698208;112.784576
5;54;Aktif;Universitas Hasanuddin;11 Juni 1956 ;3369;11 Juni 1956 ;Jl Perintis Kemerdekaan Km 10 Tamalanrea;Kota Makassar - Prop. Sulawesi Selatan - Indonesia;90245;0411-586200;0411-585188;vicerector1@unhas.ac.id;www.unhas.ac.id;Jl Perintis Kemerdekaan Km 10 Tamalanrea Kota Makassar - Prop. Sulawesi Selatan - Indonesia 90245 ;-5.1377033;119.4939454;Universitas Hasanuddin Kota Makassar - Prop. Sulawesi Selatan - Indonesia 90245;-5.13241;119.488
6;55;Aktif;Universitas Andalas;9/13/1956;211956;9/13/1956;Kampus Universitas Andalas Limau Manis;Kota Padang - Prop. Sumatera Barat - Indonesia;25163;0751-71181;0751-71085;rektor@unand.ac.id;www.unand.ac.id;Kampus Universitas Andalas Limau Manis Kota Padang - Prop. Sumatera Barat - Indonesia 25163 ;-0.914559;100.4595468;Universitas Andalas Kota Padang - Prop. Sumatera Barat - Indonesia 25163;-0.914559;100.4595468
7;56;Aktif;Universitas Padjadjaran;9/11/1957;PP NO 37 TAHUN 1957;9/18/1957;Jalan Dipati Ukur No 35 ;Kota Bandung - Prop. Jawa Barat - Indonesia;40132;022-2501976;022-2501976;unpad@unpad.ac.id;www.unpad.ac.id;Jalan Dipati Ukur No 35  Kota Bandung - Prop. Jawa Barat - Indonesia 40132 ;-6.8933529;107.617345;Universitas Padjadjaran Kota Bandung - Prop. Jawa Barat - Indonesia 40132;-6.893941;107.617288
8;57;Aktif;Universitas Diponegoro;15 Oktober 1957 ;10124UU;3 Desember 1960 ;Jl Prof H Soedarto, SH Kampus Tembalang;Kec. Tembalang - Kota Semarang - Prop. Jawa Tengah;50275;(024) 7460012;(024) 7460013;rektor@undip.ac.id;www.undip.ac.id;Jl Prof H Soedarto, SH Kampus Tembalang Kec. Tembalang - Kota Semarang - Prop. Jawa Tengah 50275 ;-7.0520829;110.4399777;Universitas Diponegoro Kec. Tembalang - Kota Semarang - Prop. Jawa Tengah 50275;-7.0520829;110.4399777
9;58;Aktif;Universitas Sriwijaya;29 Oktober 1960 ;NO.135 TAHUN 1960;29 Oktober 1960 ;Jl Raya Palembang Prabumulih Km. 32  Inderalaya Ogan Komering Ilir;Kota Palembang - Prop. Sumatera Selatan - Indonesia;30662;0711-580169;0711-580664;bapsi@unsri.ac.id;www.unsri.ac.id;Jl Raya Palembang Prabumulih Km. 32  Inderalaya Ogan Komering Ilir Kota Palembang - Prop. Sumatera Selatan - Indonesia 30662 ;-3.253636;104.678235;Universitas Sriwijaya Kota Palembang - Prop. Sumatera Selatan - Indonesia 30662;-2.9846917;104.7335316
10;59;Aktif;Universitas Lambung Mangkurat;1 Januari 1960 ;PP.NO.41 TAHUN 1960;9/1/1960;Jalan Brigjen H Hasan Basri ;Kota Banjarmasin - Prop. Kalimantan Selatan - Indonesia;70123;511306694;511306694;info@unlam.ac.id;unlam.ac.id;Jalan Brigjen H Hasan Basri  Kota Banjarmasin - Prop. Kalimantan Selatan - Indonesia 70123 ;-3.2928181;114.5899348;Universitas Lambung Mangkurat Kota Banjarmasin - Prop. Kalimantan Selatan - Indonesia 70123;-3.2975189;114.5864305
11;60;Aktif;Universitas Syiah Kuala;2 Juni 1961 ;111961;12 Juni 1961 ;"Universitas Syiah Kuala 
Jln. Teuku Nyak Arief
Darussalam, Banda Aceh, Aceh, 2";Kec. Syiah Kuala - Kota Banda Aceh - Prop. Aceh;23111;(0651) 755-3205;(0651) 755-4229;rektor@unsyiah.ac.id;www.unsyiah.ac.id;"Universitas Syiah Kuala 
Jln. Teuku Nyak Arief
Darussalam, Banda Aceh, Aceh, 2 Kec. Syiah Kuala - Kota Banda Aceh - Prop. Aceh 23111 ";5.5709872;95.3698263;Universitas Syiah Kuala Kec. Syiah Kuala - Kota Banda Aceh - Prop. Aceh 23111;5.5709872;95.3698263
