id;idUniv;status;universitas;berdiri;noSK;tanggalSK;kodePos;telepon;fax;email;website;Lat;Long
1;50;Aktif;Universitas Gadjah Mada;19 Desember 1949 ;PP 1532000;26 Desember 2000 ;55281;0274-588688;0274-565223;setr@ugm.ac.id;www.ugm.ac.id;-7.7713847;110.3774998
2;51;Aktif;Universitas Indonesia;2 Februari 1950 ;152;26 Desember 2000 ;10430;021-7270020;021-7270017;humas-ui@ui.ac.id;www.ui.ac.id;-6.1949311;106.848885
3;52;Aktif;Universitas Sumatera Utara;4 Juli 1952 ;PP 481957;9/1/1957;20155;061-8214033, 8214210;061-8211822, 8211633; ;www.usu.ac.id;3.5653554;98.6567748
4;53;Aktif;Universitas Airlangga;11/10/1954;1571954;11 Oktober 1954 ;60115;031-5914042,5914043;031-5981941;rektor@unair.ac.id;www.unair.ac.id;-7.2698208;112.784576
5;54;Aktif;Universitas Hasanuddin;11 Juni 1956 ;3369;11 Juni 1956 ;90245;0411-586200;0411-585188;vicerector1@unhas.ac.id;www.unhas.ac.id;-5.13241;119.488
6;55;Aktif;Universitas Andalas;9/13/1956;211956;9/13/1956;25163;0751-71181;0751-71085;rektor@unand.ac.id;www.unand.ac.id;-0.914559;100.4595468
7;56;Aktif;Universitas Padjadjaran;9/11/1957;PP NO 37 TAHUN 1957;9/18/1957;40132;022-2501976;022-2501976;unpad@unpad.ac.id;www.unpad.ac.id;-6.893941;107.617288
8;57;Aktif;Universitas Diponegoro;15 Oktober 1957 ;10124UU;3 Desember 1960 ;50275;(024) 7460012;(024) 7460013;rektor@undip.ac.id;www.undip.ac.id;-7.0520829;110.4399777
9;58;Aktif;Universitas Sriwijaya;29 Oktober 1960 ;NO.135 TAHUN 1960;29 Oktober 1960 ;30662;0711-580169;0711-580664;bapsi@unsri.ac.id;www.unsri.ac.id;-2.9846917;104.7335316
10;59;Aktif;Universitas Lambung Mangkurat;1 Januari 1960 ;PP.NO.41 TAHUN 1960;9/1/1960;70123;511306694;511306694;info@unlam.ac.id;unlam.ac.id;-3.2975189;114.5864305
11;60;Aktif;Universitas Syiah Kuala;2 Juni 1961 ;111961;12 Juni 1961 ;23111;(0651) 755-3205;(0651) 755-4229;rektor@unsyiah.ac.id;www.unsyiah.ac.id;5.5709872;95.3698263
12;61;Aktif;Universitas Sam Ratulangi;9/14/1965;277 TAHUN 1965;9/14/1965;95115;0431-863886;0431-822568;rektorat@unsrat.ac.id;www.unsrat.ac.id;1.4592105;124.8292757
13;62;Aktif;Universitas Udayana;17 Agustus 1962 ;10462;9 Agustus 1962 ;80361;0361-701954;0361-701907;info@unud.ac.id;www.unud.ac.id;-8.7982727;115.1723921
14;63;Aktif;Universitas Nusa Cendana;9/1/1962;III TAHUN 1962;28 Agustus 1962 ;85001;(0380)881580;881674;puskomundana@yahoo.com; http:www.undana.ac.id;-10.1544464;123.6589219
15;64;Aktif;Universitas Mulawarman;9/27/1962;KEPRES NO 65;9/28/1962;75119;541741118;541732870;rektorat-unmul@smd.mega.net;www.unmul.ac.id;-0.4697647;117.1541237
16;65;Aktif;Universitas Mataram;1 Oktober 1962 ;139;11/3/1962;83125;0370-633007;0370-636041;rektor@unram.ac.id;www.unram.ac.id;-8.5834619;116.092923
17;66;Aktif;Universitas Riau;9/1/1962;02KPTSJUR62;9/25/1962;28293;0761-63266;0761-63279;unri@ac.id;www.unri.ac.id;0.476395;101.380647
18;67;Aktif;Universitas Cenderawasih;11/10/1962;3891962;11/10/1962;99358;0967-572108;0967-572102;humas@unicen.ac.id;www.unicen.ac.id;-2.6095365;140.6596853
19;68;Aktif;Universitas Brawijaya;9/23/1963;196;5 Januari 1963 ;65145;0341-551611;0341-565420;rektorat@ub.ac.id;www.ub.ac.id;-7.9524401;112.6129181
20;69;Aktif;Universitas Jambi;1 Januari 1963 ;O1KP1963;1 Januari 1963 ;36361;741583377;741583111;unja@unja.ac.id;www.unja.ac.id;-1.6115412;103.5200459
21;70;Aktif;Universitas Pattimura;8 Agustus 1962 ;66;4/23/1963;97233;(0911)322626;(0911)322626;rektor@unpatti.ac.id;www.unpatti.ac.id;-3.6521671;128.1915828
22;71;Aktif;Universitas Tanjungpura;6 Mei 1963 ;53 THN.1963;16 Mei 1963 ;78124;0561-736033,739630;0561-739630,739636;"1) untan_59@untan.ac.id; 2) untan_59@untan.ac.id";www.untan.ac.id;-0.0597309;109.3457504
